#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="3" id="bPopSizes.t:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" lower="0.0" name="popSizes" spec="beast.core.parameter.RealParameter">380.0</parameter>
#            <groupSizes dimension="3" id="bGroupSizes.t:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.evolution.tree.Tree">
#                    <trait dateFormat="yyyy-M-dd" id="dateTrait.t:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.evolution.tree.TraitSet" traitname="date" value="Caccuri-pt-1|2020-08-05=2020-08-05,Caccuri-pt-1|2020-04-02=2020-04-02,Caccuri-pt-1|2020-04-09=2020-04-09,Caccuri-pt-1|2020-04-22=2020-04-22,Caccuri-pt-1|2020-04-28=2020-04-28,Caccuri-pt-1|2020-05-06=2020-05-06,Caccuri-pt-1|2020-05-13=2020-05-13,Caccuri-pt-1|2020-05-20=2020-05-20,Caccuri-pt-1|2020-07-27=2020-07-27,Caccuri-pt-1|2020-08-26=2020-08-26,Caccuri-pt-1|2020-09-07=2020-09-07,Caccuri-pt-1|2020-11-10=2020-11-10">
#                        <taxa id="TaxonSet.Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.Caccuri-pt-1_maskedRefRemMafft_DateCorrect"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" jeffreys="true" parameter="@bPopSizes.t:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" name="distribution">
#            <parameter id="clockRate.c:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" name="distribution">
#            <parameter id="gammaShape.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" name="distribution">
#            <parameter id="kappa.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Caccuri-pt-1_maskedRefRemMafft_DateCorrect" id="treeLikelihood.Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Caccuri-pt-1_maskedRefRemMafft_DateCorrect">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" shape="@gammaShape.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" kappa="@kappa.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" id="estimatedFreqs.s:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" id="StrictClock.c:Caccuri-pt-1_maskedRefRemMafft_DateCorrect" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	kappa	gammaShape	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
40000	-40473.35031097996	-40496.64594601975	23.295635039797272	-40496.64594601975	0.7454096171098286	2.727009906033371E-4	3.699138030870584	3.126755083345224	23.062900591161323	0.039826643259277386	0.09858721500019492	0.044146942326035415	7	1	3	0.27749134025600636	0.21498419286047102	0.20897540861021308	0.2985490582733095
42000	-40409.32466492669	-40440.69195628445	31.367291357761463	-40440.69195628445	0.6222541268173296	4.8548774763957676E-4	3.699138030870584	3.126755083345224	28.82267758538973	0.037487989039934444	0.04694931986091298	0.010415519664683365	2	5	4	0.2877095153330696	0.2044288005251578	0.20897540861021308	0.29888627553155944
44000	-40391.407854763645	-40443.15703520394	51.74918044029933	-40443.15703520394	0.6085483653591117	7.820002831341099E-4	2.110182041342396	3.126755083345224	46.44078451270589	0.06732527163302092	0.0044249729860256866	0.0017995403032128544	2	7	2	0.2877095153330696	0.2044288005251578	0.20897540861021308	0.29888627553155944
46000	-40406.54640953675	-40444.849154817966	38.30274528121832	-40444.849154817966	0.634371034027211	3.955238027520793E-4	3.4355287580589646	1.8360656744148305	32.13306909521763	0.031732802953322994	0.011174942431528782	0.007187613790101184	3	1	7	0.2877095153330696	0.2044288005251578	0.20897540861021308	0.29888627553155944
48000	-40405.397213926975	-40426.942499693774	21.545285766795637	-40426.942499693774	0.7920784303189456	4.693493943872653E-4	3.4355287580589646	1.7508725397175569	19.359904143515926	0.045363510261607363	0.04941921058835795	0.08767222222676051	6	4	1	0.2877095153330696	0.2044288005251578	0.20602628341896276	0.3018354007228098
50000	-40397.297997430454	-40430.05312330695	32.75512587649256	-40430.05312330695	0.6527969294090673	4.5636497027327623E-4	1.719735336711814	1.7508725397175569	30.13660050133876	0.10804099256336151	0.02018914839440612	0.04129707619144986	2	7	2	0.2877095153330696	0.2044288005251578	0.20602628341896276	0.3018354007228098
52000	-40409.831201499386	-40428.098715426066	18.267513926681087	-40428.098715426066	0.6852200647992545	2.63485333042661E-4	1.719735336711814	2.9049756537708142	17.60152352713401	0.08324168101677255	0.08134653266724162	0.09611295965777684	5	2	4	0.2877095153330696	0.2044288005251578	0.20602628341896276	0.3018354007228098
54000	-40400.61343741795	-40427.628071611194	27.014634193238397	-40427.628071611194	0.9757574798135026	3.5229896628626635E-4	2.167506661099111	2.0236428778307327	26.50739702786489	0.027929241298181855	0.07109741759829209	0.1984538480488202	9	1	1	0.2877095153330696	0.2044288005251578	0.20602628341896276	0.3018354007228098
56000	-40401.58969650196	-40424.90818680095	23.318490298998867	-40424.90818680095	0.6981447556192967	6.180771882045987E-4	2.2913420985255097	1.413760101234705	21.36889359323159	0.02196886726809444	0.08618758473514126	0.07070821897768664	1	2	8	0.2877095153330696	0.20052411799063047	0.2099309659534901	0.3018354007228098
58000	-40367.62963909601	-40386.48011305039	18.85047395437923	-40386.48011305039	0.7011700838106907	3.3215817823673916E-4	2.6553685344696327	1.3599341226314152	18.44121858651227	0.08562668040869316	0.1924740820458741	0.08227335740414844	4	1	6	0.2877095153330696	0.1829855446852409	0.2099309659534901	0.3193739740281994
60000	-40357.85223494596	-40382.904813258596	25.052578312634964	-40382.904813258596	0.7940661693775779	3.9764105189121556E-4	2.6553685344696327	1.6126291929864662	21.5801646503542	0.035510555111753175	0.025202172993246362	0.06157098648243722	3	2	6	0.2877095153330696	0.1829855446852409	0.2099309659534901	0.3193739740281994
62000	-40342.942798728865	-40369.729632529365	26.786833800499835	-40369.729632529365	0.6434772372591204	4.640942400343488E-4	4.028014464665095	1.6126291929864662	26.350584225968486	0.20613052030857928	0.06383603050794832	0.06169845449261821	1	1	9	0.3057865167209178	0.1829855446852409	0.19185396456564194	0.3193739740281994
64000	-40344.66323074416	-40366.92123621378	22.25800546961747	-40366.92123621378	0.7711838286000616	2.2220824759423754E-4	4.028014464665095	1.6126291929864662	22.3121370368458	0.21996143010818614	0.041070607018536265	0.07766474798276456	2	6	3	0.3057865167209178	0.1829855446852409	0.19185396456564194	0.3193739740281994
66000	-40338.64232826469	-40368.59706070313	29.954732438438317	-40368.59706070313	0.6214170655382536	3.7703035008746573E-4	4.028014464665095	2.2740835881384562	29.17066306513724	0.26626523903909927	0.015807439018887443	0.017252727287379907	2	4	5	0.3057865167209178	0.1829855446852409	0.19185396456564194	0.3193739740281994
68000	-40343.69914527036	-40369.53106292058	25.831917650222724	-40369.53106292058	0.6149108465534551	3.7424116312796934E-4	4.06228170445589	1.5756391771531186	22.874035745409707	0.06347805467606771	0.051370871279050476	0.02797352646965174	3	5	3	0.3057865167209178	0.1829855446852409	0.19185396456564194	0.3193739740281994
70000	-40336.24917872922	-40368.75796192215	32.50878319293076	-40368.75796192215	0.619751452979596	5.652730628882247E-4	4.06228170445589	1.5756391771531186	28.264812359906106	0.05405904162888694	0.022165408350332684	0.018163943609895157	1	5	5	0.3057865167209178	0.18342543981715756	0.19185396456564194	0.3189340788962827
72000	-40326.54374929226	-40365.992501706496	39.44875241423979	-40365.992501706496	0.6201836685442532	5.332555989151181E-4	4.130432426015041	1.5756391771531186	37.32855975416717	0.2118376334464266	0.007730672481571412	0.012505340043843847	2	6	3	0.29781266483047697	0.18342543981715756	0.19982781645608272	0.3189340788962827
74000	-40327.14580949396	-40368.305387110784	41.15957761682804	-40368.305387110784	0.6225434454101313	9.039556775721158E-4	4.130432426015041	1.5756391771531186	36.98485212943296	0.062244370847156026	0.027118639629546755	0.009718922704720367	2	2	7	0.29781266483047697	0.18342543981715756	0.19982781645608272	0.3189340788962827
76000	-40326.62961872757	-40368.28704328693	41.65742455936085	-40368.28704328693	0.6322728352258193	6.743650268944205E-4	4.130432426015041	1.5756391771531186	36.34884413093294	0.03839966853382963	0.007479582714809245	0.012861224410437286	2	3	6	0.29781266483047697	0.18342543981715756	0.19982781645608272	0.3189340788962827
